question_id,career_field,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
39,Cybersecurity,Medium,What does Multi-Factor Authentication (MFA) require?,"Two or more independent authentication factors (something you know, have, or are)",Changing passwords every 24 hours,Using only 32-character hexadecimal passwords,Logging in from two different browser windows simultaneously,A
40,Cybersecurity,Hard,"How does a Man-In-The-Middle (MITM) attack work on unsecured public Wi-Fi, and how is it prevented?",Attacker intercepts and modifies communication; prevented via TLS certificate pinning,Attacker physically steals the router hard drive; prevented with BIOS passwords,Attacker floods DNS cache with zero-byte packets; prevented with VPN split-tunneling,Attacker overflows stack memory pointers; prevented with ASLR compilers,A
41,Cybersecurity,Hard,What is the principle of Zero Trust Architecture in enterprise cybersecurity?,"Never trust, always verify every user and device regardless of network location",Trust all internal network devices behind the corporate firewall,Disable all user passwords and rely solely on IP whitelisting,Grant root access to all developers to speed up deployment,A
42,Cloud Computing,Easy,What is Cloud Computing?,"Delivery of on-demand computing services (servers, storage) over the internet",Installing software from physical CD-ROMs,Running programs only on a local laptop without internet,Building physical circuit boards for microcontrollers,A
43,Cloud Computing,Easy,Which of the following is a major Cloud Service Provider?,Amazon Web Services (AWS),Adobe Photoshop,Microsoft Word,VLC Media Player,A
44,Cloud Computing,Easy,What is Docker primarily used for?,Packaging applications and their dependencies into lightweight containers,Editing video files in 4K resolution,Designing 3D graphics and animations,Scanning hard drives for malware,A
45,Cloud Computing,Medium,What is the main role of Kubernetes in cloud infrastructure?,"Automates deployment, scaling, and management of containerized applications",Compiles Java bytecode into native machine code,Manages credit card billing transactions on e-commerce sites,Replaces physical fiber-optic internet cables,A
46,Cloud Computing,Medium,What does Infrastructure as Code (IaC) like Terraform enable?,Defining and provisioning cloud infrastructure using repeatable configuration files,Writing frontend React components in machine assembly,Compiling kernel drivers for custom operating systems,Translating natural language into SQL database tables,A
47,Cloud Computing,Medium,What is Continuous Integration and Continuous Deployment (CI/CD)?,"Automates code testing, building, and deployment upon every commit",Manages physical server cooling systems in data centers,Ensures all developers write code in the same IDE,Restricts database write access to a single administrator,A
48,Cloud Computing,Hard,What is the difference between horizontal and vertical scaling in cloud architecture?,Horizontal adds more server instances; Vertical adds more CPU/RAM to a single instance,Horizontal upgrades software versions; Vertical changes cloud providers,Horizontal scaling only works on SQL; Vertical scaling only works on NoSQL,Vertical scaling eliminates network latency completely,A
49,Cloud Computing,Hard,How does a Circuit Breaker pattern improve resilience in microservices architectures?,Prevents cascading service failures by failing fast when a downstream dependency is unhealthy,Increases network timeouts to 10 minutes during server outages,Restarts the entire cloud cluster whenever an error is logged,Encrypts all inter-service REST calls with asymmetric RSA keys,A
50,Mobile App Development,Easy,Which language is officially recommended by Google for Android app development?,Kotlin,PHP,Ruby,Perl,A
51,Mobile App Development,Easy,Which framework allows building native iOS and Android apps with a single codebase using Dart?,Flutter,Django,Spring Boot,Laravel,A
52,Mobile App Development,Medium,What is the purpose of the Android Manifest file (`AndroidManifest.xml`)?,"Declares app components, permissions, and device hardware requirements",Stores compiled SQLite database tables,Encrypts user biometric authentication tokens,Renders the UI layout in vector format,A
53,Mobile App Development,Hard,How do background tasks in modern mobile OS (like WorkManager in Android) conserve battery life?,"Batches and schedules tasks when device conditions (network, charging) are met",Terminates all foreground apps when battery drops below 50%,Overclocks the CPU to complete tasks in under 1 millisecond,Disables GPS and Bluetooth permanently for background workers,A
54,UI/UX Design,Easy,What is the difference between UI and UX design?,UI focuses on visual elements and aesthetics; UX focuses on the overall user experience and flow,UI is for mobile apps only; UX is for desktop websites only,UI requires writing backend code; UX requires graphic painting,UI and UX are identical terms with no distinction,A
55,UI/UX Design,Easy,What is a wireframe in product design?,A low-fidelity visual guide that represents the skeletal framework of a screen,The final production HTML/CSS code sent to developers,A 3D animated video showing product features,A database schema diagram showing table relations,A
56,UI/UX Design,Medium,What is Hick's Law in user experience design?,The time it takes to make a decision increases with the number and complexity of choices,Users spend most of their time on other sites so they prefer familiar conventions,Visual elements should always have at least 10:1 contrast ratios,Users remember the first and last items in a series best,A
57,UI/UX Design,Hard,How does WCAG 2.1 AAA compliance influence color contrast in accessible interface design?,Requires at least 7:1 contrast ratio for normal text and 4.5:1 for large text,Eliminates the use of all bright colors in favor of grayscale,Restricts font sizes to a maximum of 14 pixels,Forces all interactive buttons to use neon blue backgrounds,A
58,Game Development,Easy,Which game engine is widely used for creating 2D and 3D games with C# scripting?,Unity,Flask,Docker,Apache Tomcat,A
59,Game Development,Medium,What is the primary role of the Game Loop in game architecture?,"Continuously processes input, updates game state, and renders frames",Loads textures into RAM only once when the game exits,Generates random in-game music tracks every minute,Compresses multiplayer network packets over TCP,A
60,Game Development,Hard,What technique optimizes 3D rendering performance by omitting objects outside the camera's view frustum?,Frustum Culling,Ray Tracing,Specular Highlighting,Inverse Kinematics,A
